# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=300
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1000, nan, nan
4, 0.1001, nan, nan
5, 0.1095, nan, nan
6, 0.1282, nan, nan
7, 0.1749, nan, nan
8, 0.2980, nan, nan
9, 0.2970, nan, nan
10, 0.3299, nan, nan
11, 0.2894, nan, nan
12, 0.3095, nan, nan
13, 0.2817, nan, nan
14, 0.3717, nan, nan
15, 0.3332, nan, nan
16, 0.3722, nan, nan
17, 0.3933, nan, nan
18, 0.3413, nan, nan
19, 0.3625, nan, nan
20, 0.3722, nan, nan
21, 0.4243, nan, nan
22, 0.3933, nan, nan
23, 0.3803, nan, nan
24, 0.3814, nan, nan
25, 0.4018, nan, nan
26, 0.3722, nan, nan
27, 0.3859, nan, nan
28, 0.3041, nan, nan
29, 0.3904, nan, nan
30, 0.4437, nan, nan
31, 0.4354, nan, nan
32, 0.4606, nan, nan
33, 0.4343, nan, nan
34, 0.3572, nan, nan
35, 0.4572, nan, nan
36, 0.4446, nan, nan
37, 0.3947, nan, nan
38, 0.4563, nan, nan
39, 0.4341, nan, nan
40, 0.4350, nan, nan
41, 0.3998, nan, nan
42, 0.4447, nan, nan
43, 0.4477, nan, nan
44, 0.4581, nan, nan
45, 0.4016, nan, nan
46, 0.4140, nan, nan
47, 0.3804, nan, nan
48, 0.4120, nan, nan
49, 0.4752, nan, nan
50, 0.4700, nan, nan
51, 0.2208, 1.0000, 0.2857
52, 0.1514, 1.0000, 0.0000
53, 0.0911, 1.0000, 0.0000
54, 0.1000, 1.0000, 0.1429
55, 0.1001, 1.0000, 0.0000
56, 0.0999, 1.0000, 0.0000
57, 0.0876, 1.0000, 0.0000
58, 0.1000, 1.0000, 0.0000
59, 0.1001, 1.0000, 0.0000
60, 0.0952, 1.0000, 0.0000
61, 0.2406, 0.0000, 0.0000
62, 0.4289, 0.0000, 0.0000
63, 0.4692, 0.0000, 0.0000
64, 0.5115, 0.0000, 0.0000
65, 0.5193, 0.0000, 0.0000
66, 0.1904, 1.0000, 0.0000
67, 0.4759, 1.0000, 0.0000
68, 0.0948, 1.0000, 0.0000
69, 0.1952, 0.0000, 0.2857
70, 0.1030, 1.0000, 0.1429
71, 0.1025, 1.0000, 0.0000
72, 0.1000, 1.0000, 0.0000
73, 0.0960, 1.0000, 0.0000
74, 0.0992, 1.0000, 0.1429
75, 0.1022, 1.0000, 0.0000
76, 0.0964, 1.0000, 0.1429
77, 0.1000, 1.0000, 0.0000
78, 0.0718, 1.0000, 0.0000
79, 0.0944, 1.0000, 0.0000
80, 0.0818, 1.0000, 0.0000
81, 0.0842, 1.0000, 0.1429
82, 0.1002, 1.0000, 0.1429
83, 0.1250, 1.0000, 0.2857
84, 0.1046, 1.0000, 0.1429
85, 0.1788, 0.0000, 0.1429
86, 0.3756, 0.0000, 0.0000
87, 0.4315, 0.0000, 0.1429
88, 0.4520, 0.0000, 0.0000
89, 0.4790, 0.0000, 0.0000
90, 0.4843, 0.0000, 0.1429
91, 0.5004, 0.0000, 0.1429
92, 0.1556, 1.0000, 0.0000
93, 0.4519, 0.0000, 0.1429
94, 0.4757, 0.0000, 0.0000
95, 0.0972, 1.0000, 0.2857
96, 0.0908, 1.0000, 0.2857
97, 0.1014, 1.0000, 0.2857
98, 0.0934, 1.0000, 0.2857
99, 0.1028, 1.0000, 0.2857
100, 0.1053, 1.0000, 0.2857
101, 0.1008, 1.0000, 0.2857
102, 0.1000, 1.0000, 0.2857
103, 0.0915, 1.0000, 0.2857
104, 0.1082, 1.0000, 0.2857
105, 0.1040, 1.0000, 0.4286
106, 0.1000, 1.0000, 0.5714
107, 0.1030, 1.0000, 0.1429
108, 0.1000, 1.0000, 0.4286
109, 0.2704, 1.0000, 0.1429
110, 0.2444, 1.0000, 0.7143
111, 0.3362, 0.0000, 0.0000
112, 0.3796, 0.0000, 0.0000
113, 0.4079, 0.0000, 0.1429
114, 0.1548, 1.0000, 0.2857
115, 0.3881, 1.0000, 0.4286
116, 0.4397, 0.0000, 0.2857
117, 0.4487, 0.0000, 0.0000
118, 0.0949, 1.0000, 0.2857
119, 0.3775, 1.0000, 0.2857
120, 0.4298, 0.0000, 0.1429
121, 0.1113, 1.0000, 0.2857
122, 0.1256, 1.0000, 0.2857
123, 0.1026, 1.0000, 0.2857
124, 0.1030, 1.0000, 0.2857
125, 0.1122, 1.0000, 0.1429
126, 0.1000, 0.0000, 0.1429
127, 0.1574, 1.0000, 0.0000
128, 0.2866, 1.0000, 0.0000
129, 0.3524, 1.0000, 0.0000
130, 0.3382, 1.0000, 0.0000
131, 0.3626, 1.0000, 0.0000
132, 0.3562, 1.0000, 0.0000
133, 0.3397, 1.0000, 0.0000
134, 0.3368, 1.0000, 0.0000
135, 0.3676, 1.0000, 0.0000
136, 0.3746, 1.0000, 0.0000
137, 0.4268, 1.0000, 0.0000
138, 0.1111, 1.0000, 0.2857
139, 0.1109, 1.0000, 0.1429
140, 0.0834, 1.0000, 0.2857
141, 0.0992, 1.0000, 0.2857
142, 0.1000, 1.0000, 0.2857
143, 0.1015, 1.0000, 0.2857
