# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=label_flipping
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.2454, nan, nan
4, 0.3649, nan, nan
5, 0.4343, nan, nan
6, 0.4728, nan, nan
7, 0.5033, nan, nan
8, 0.5291, nan, nan
9, 0.5535, nan, nan
10, 0.5730, nan, nan
11, 0.5675, 1.0000, 0.2857
12, 0.6034, 0.6667, 0.0000
13, 0.6076, 1.0000, 0.0000
14, 0.6132, 1.0000, 0.0000
15, 0.6256, 1.0000, 0.1429
16, 0.6492, 1.0000, 0.0000
17, 0.6595, 1.0000, 0.0000
18, 0.6607, 1.0000, 0.1429
19, 0.6225, 1.0000, 0.2857
20, 0.6805, 0.6667, 0.0000
21, 0.6764, 0.6667, 0.1429
22, 0.6841, 1.0000, 0.1429
23, 0.6851, 1.0000, 0.1429
24, 0.6980, 1.0000, 0.1429
25, 0.6971, 0.6667, 0.2857
26, 0.7042, 1.0000, 0.0000
27, 0.6379, 1.0000, 0.2857
28, 0.7085, 0.6667, 0.1429
29, 0.6775, 1.0000, 0.1429
30, 0.7135, 0.6667, 0.2857
31, 0.6961, 1.0000, 0.1429
32, 0.5117, 1.0000, 0.4286
33, 0.7272, 0.6667, 0.2857
34, 0.7131, 0.6667, 0.2857
35, 0.7223, 0.6667, 0.1429
36, 0.7143, 0.6667, 0.2857
37, 0.7241, 0.6667, 0.1429
38, 0.0523, 1.0000, 0.5714
39, 0.7229, 0.6667, 0.4286
40, 0.7206, 0.6667, 0.2857
41, 0.7241, 0.6667, 0.2857
42, 0.7085, 0.6667, 0.4286
43, 0.3482, 1.0000, 0.4286
44, 0.4010, 1.0000, 0.5714
45, 0.7307, 0.6667, 0.2857
46, 0.7299, 0.6667, 0.1429
47, 0.7420, 0.3333, 0.1429
48, 0.7273, 0.6667, 0.1429
49, 0.7214, 0.6667, 0.4286
50, 0.7354, 0.6667, 0.2857
51, 0.7326, 0.6667, 0.1429
52, 0.7187, 0.6667, 0.4286
53, 0.7443, 0.6667, 0.2857
54, 0.7470, 0.3333, 0.4286
