# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=300
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1000, nan, nan
4, 0.1018, nan, nan
5, 0.1008, nan, nan
6, 0.1736, nan, nan
7, 0.1892, nan, nan
8, 0.2702, nan, nan
9, 0.2802, nan, nan
10, 0.2117, nan, nan
11, 0.2784, nan, nan
12, 0.2872, nan, nan
13, 0.2586, nan, nan
14, 0.3338, nan, nan
15, 0.2485, nan, nan
16, 0.3441, nan, nan
17, 0.3265, nan, nan
18, 0.3365, nan, nan
19, 0.3704, nan, nan
20, 0.3892, nan, nan
21, 0.3988, nan, nan
22, 0.3542, nan, nan
23, 0.3813, nan, nan
24, 0.3969, nan, nan
25, 0.3563, nan, nan
26, 0.3472, nan, nan
27, 0.4139, nan, nan
28, 0.3103, nan, nan
29, 0.3494, nan, nan
30, 0.4569, nan, nan
31, 0.3883, nan, nan
32, 0.4260, nan, nan
33, 0.4474, nan, nan
34, 0.4850, nan, nan
35, 0.4407, nan, nan
36, 0.4170, nan, nan
37, 0.4136, nan, nan
38, 0.4350, nan, nan
39, 0.4969, nan, nan
40, 0.3878, nan, nan
41, 0.4630, nan, nan
42, 0.4894, nan, nan
43, 0.4128, nan, nan
44, 0.4067, nan, nan
45, 0.4020, nan, nan
46, 0.4752, nan, nan
47, 0.4585, nan, nan
48, 0.3724, nan, nan
49, 0.4603, nan, nan
50, 0.3948, nan, nan
51, 0.3441, 1.0000, 0.2857
52, 0.3685, 1.0000, 0.1429
53, 0.3655, 1.0000, 0.0000
54, 0.5918, 0.0000, 0.0000
55, 0.5461, 1.0000, 0.0000
56, 0.5281, 1.0000, 0.0000
57, 0.3921, 1.0000, 0.1429
58, 0.1707, 1.0000, 0.5714
59, 0.3830, 1.0000, 0.0000
60, 0.5751, 0.0000, 0.0000
61, 0.5220, 1.0000, 0.0000
62, 0.3958, 1.0000, 0.0000
63, 0.2201, 1.0000, 0.4286
64, 0.4634, 1.0000, 0.0000
65, 0.5449, 0.3333, 0.0000
66, 0.4665, 1.0000, 0.0000
67, 0.4343, 1.0000, 0.1429
68, 0.4021, 1.0000, 0.1429
69, 0.3543, 1.0000, 0.2857
70, 0.3955, 1.0000, 0.1429
71, 0.4147, 1.0000, 0.1429
72, 0.1493, 1.0000, 0.5714
73, 0.4075, 1.0000, 0.0000
74, 0.2522, 1.0000, 0.4286
75, 0.4302, 1.0000, 0.0000
76, 0.3206, 1.0000, 0.2857
77, 0.5927, 0.0000, 0.0000
78, 0.5121, 1.0000, 0.0000
79, 0.5249, 1.0000, 0.0000
80, 0.3293, 1.0000, 0.2857
81, 0.4758, 1.0000, 0.0000
82, 0.5979, 0.0000, 0.2857
83, 0.5303, 1.0000, 0.0000
84, 0.1938, 1.0000, 0.4286
85, 0.4788, 1.0000, 0.0000
86, 0.1231, 1.0000, 0.5714
87, 0.2706, 1.0000, 0.2857
88, 0.4512, 1.0000, 0.0000
89, 0.6049, 0.0000, 0.0000
90, 0.4887, 1.0000, 0.1429
91, 0.4381, 1.0000, 0.1429
92, 0.2703, 1.0000, 0.4286
93, 0.3535, 1.0000, 0.2857
94, 0.3539, 1.0000, 0.2857
95, 0.4648, 1.0000, 0.1429
96, 0.2160, 1.0000, 0.5714
97, 0.2814, 1.0000, 0.2857
98, 0.2995, 1.0000, 0.2857
99, 0.3433, 1.0000, 0.2857
100, 0.1613, 1.0000, 0.5714
101, 0.2178, 1.0000, 0.2857
102, 0.2259, 1.0000, 0.4286
103, 0.5687, 0.0000, 0.0000
104, 0.3768, 1.0000, 0.2857
105, 0.3872, 1.0000, 0.2857
106, 0.1486, 1.0000, 0.5714
107, 0.5451, 0.0000, 0.0000
108, 0.3792, 1.0000, 0.2857
109, 0.3967, 1.0000, 0.2857
110, 0.4087, 1.0000, 0.2857
