# use_svdd=True
# num_clients=10, num_benign=5, num_malicious=5
# attack_type=label_flipping
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1640, nan, nan
4, 0.2326, nan, nan
5, 0.2157, nan, nan
6, 0.3060, nan, nan
7, 0.1874, nan, nan
8, 0.3469, nan, nan
9, 0.1823, nan, nan
10, 0.2771, nan, nan
11, 0.0747, 0.8000, 0.6000
12, 0.5532, 0.8000, 0.0000
13, 0.6025, 0.4000, 0.0000
14, 0.0635, 1.0000, 0.2000
15, 0.0714, 0.8000, 0.6000
16, 0.6173, 0.8000, 0.0000
17, 0.4057, 0.8000, 0.0000
18, 0.1011, 1.0000, 0.2000
19, 0.6631, 0.6000, 0.0000
20, 0.0736, 0.8000, 0.2000
21, 0.6118, 1.0000, 0.0000
22, 0.0580, 1.0000, 0.4000
23, 0.6527, 0.8000, 0.2000
24, 0.6690, 0.6000, 0.0000
25, 0.1629, 0.8000, 0.2000
26, 0.0512, 1.0000, 0.6000
27, 0.6540, 0.8000, 0.2000
28, 0.0528, 0.8000, 0.4000
29, 0.6013, 0.6000, 0.4000
30, 0.0491, 0.6000, 0.6000
31, 0.6718, 0.6000, 0.4000
32, 0.7111, 0.2000, 0.0000
33, 0.0584, 0.6000, 0.4000
34, 0.7189, 0.4000, 0.2000
35, 0.6114, 0.4000, 0.4000
36, 0.2818, 0.6000, 0.4000
37, 0.3800, 0.6000, 0.4000
38, 0.4232, 0.6000, 0.4000
39, 0.4143, 0.6000, 0.4000
