# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=300
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1284, nan, nan
2, 0.1000, nan, nan
3, 0.1000, nan, nan
4, 0.1018, nan, nan
5, 0.1042, nan, nan
6, 0.1025, nan, nan
7, 0.1476, nan, nan
8, 0.2267, nan, nan
9, 0.2802, nan, nan
10, 0.2649, nan, nan
11, 0.3105, nan, nan
12, 0.3193, nan, nan
13, 0.2809, nan, nan
14, 0.3156, nan, nan
15, 0.2521, nan, nan
16, 0.3130, nan, nan
17, 0.2826, nan, nan
18, 0.3002, nan, nan
19, 0.2968, nan, nan
20, 0.3537, nan, nan
21, 0.4072, nan, nan
22, 0.3477, nan, nan
23, 0.3608, nan, nan
24, 0.4079, nan, nan
25, 0.4388, nan, nan
26, 0.3951, nan, nan
27, 0.4404, nan, nan
28, 0.3651, nan, nan
29, 0.4123, nan, nan
30, 0.4153, nan, nan
31, 0.3550, nan, nan
32, 0.4533, nan, nan
33, 0.4331, nan, nan
34, 0.4000, nan, nan
35, 0.3883, nan, nan
36, 0.4745, nan, nan
37, 0.4056, nan, nan
38, 0.3854, nan, nan
39, 0.4608, nan, nan
40, 0.4704, nan, nan
41, 0.3359, nan, nan
42, 0.4082, nan, nan
43, 0.4593, nan, nan
44, 0.4637, nan, nan
45, 0.3691, nan, nan
46, 0.3888, nan, nan
47, 0.4250, nan, nan
48, 0.3819, nan, nan
49, 0.4139, nan, nan
50, 0.4625, nan, nan
51, 0.6022, 0.0000, 0.0000
52, 0.2061, 0.0000, 0.0000
53, 0.1000, 1.0000, 0.0000
54, 0.1000, 0.0000, 0.1429
55, 0.1000, 1.0000, 0.0000
56, 0.1000, 1.0000, 0.0000
57, 0.1000, 1.0000, 0.0000
58, 0.1000, 1.0000, 0.0000
59, 0.1000, 1.0000, 0.0000
60, 0.1000, 1.0000, 0.0000
