# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=300
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1000, nan, nan
4, 0.1120, nan, nan
5, 0.1018, nan, nan
6, 0.1836, nan, nan
7, 0.2376, nan, nan
8, 0.2189, nan, nan
9, 0.2590, nan, nan
10, 0.2753, nan, nan
11, 0.3042, nan, nan
12, 0.3140, nan, nan
13, 0.3336, nan, nan
14, 0.2993, nan, nan
15, 0.3555, nan, nan
16, 0.3792, nan, nan
17, 0.3212, nan, nan
18, 0.3790, nan, nan
19, 0.3296, nan, nan
20, 0.3815, nan, nan
21, 0.3984, 1.0000, 0.4286
22, 0.0842, 1.0000, 0.0000
23, 0.1085, 1.0000, 0.0000
24, 0.1000, 1.0000, 0.1429
25, 0.0704, 1.0000, 0.0000
26, 0.0956, 1.0000, 0.0000
27, 0.0998, 1.0000, 0.0000
28, 0.1000, 1.0000, 0.0000
29, 0.1532, 1.0000, 0.0000
30, 0.1916, 1.0000, 0.0000
31, 0.4277, 1.0000, 0.1429
32, 0.4809, 0.0000, 0.0000
33, 0.5040, 0.0000, 0.0000
34, 0.5277, 0.0000, 0.0000
35, 0.5100, 1.0000, 0.0000
36, 0.0943, 1.0000, 0.0000
37, 0.1021, 1.0000, 0.2857
38, 0.0995, 1.0000, 0.0000
39, 0.1005, 1.0000, 0.0000
40, 0.1073, 1.0000, 0.0000
41, 0.0992, 1.0000, 0.1429
42, 0.1035, 1.0000, 0.0000
43, 0.0902, 1.0000, 0.0000
44, 0.1000, 1.0000, 0.0000
45, 0.1008, 1.0000, 0.0000
46, 0.1045, 1.0000, 0.0000
47, 0.1343, 1.0000, 0.1429
48, 0.3536, 0.0000, 0.0000
49, 0.1862, 1.0000, 0.4286
