# use_svdd=True
# num_clients=10, num_benign=5, num_malicious=5
# attack_type=LabelFlipping
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.2090, nan, nan
4, 0.2691, nan, nan
5, 0.2360, nan, nan
6, 0.3129, nan, nan
7, 0.2391, nan, nan
8, 0.2430, nan, nan
9, 0.3454, nan, nan
10, 0.2603, nan, nan
11, 0.3565, 0.6000, 0.2000
12, 0.1788, 0.8000, 0.2000
13, 0.4514, 0.6000, 0.0000
14, 0.1289, 1.0000, 0.0000
15, 0.5952, 0.6000, 0.2000
16, 0.0785, 0.8000, 0.6000
17, 0.5250, 1.0000, 0.0000
18, 0.2143, 0.8000, 0.2000
19, 0.1394, 0.6000, 0.6000
20, 0.3366, 1.0000, 0.2000
21, 0.0679, 1.0000, 0.4000
22, 0.6590, 0.8000, 0.0000
23, 0.0756, 0.6000, 0.6000
24, 0.6813, 0.6000, 0.2000
25, 0.1052, 0.6000, 0.4000
26, 0.0756, 0.8000, 0.4000
