# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=300
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.0843, nan, nan
4, 0.1058, nan, nan
5, 0.1142, nan, nan
6, 0.1452, nan, nan
7, 0.1115, nan, nan
8, 0.2109, nan, nan
9, 0.1478, nan, nan
10, 0.1583, nan, nan
11, 0.1353, nan, nan
12, 0.1712, nan, nan
13, 0.1752, nan, nan
14, 0.1710, nan, nan
15, 0.1871, nan, nan
16, 0.1500, nan, nan
17, 0.2203, nan, nan
18, 0.1813, nan, nan
19, 0.1567, nan, nan
20, 0.2044, nan, nan
21, 0.2045, nan, nan
22, 0.2181, nan, nan
23, 0.1717, nan, nan
24, 0.1188, nan, nan
25, 0.2214, nan, nan
26, 0.1420, nan, nan
27, 0.2550, nan, nan
28, 0.2436, nan, nan
29, 0.2055, nan, nan
30, 0.1474, nan, nan
31, 0.1680, nan, nan
32, 0.2052, nan, nan
33, 0.1693, nan, nan
34, 0.2579, nan, nan
35, 0.2232, nan, nan
36, 0.1623, nan, nan
37, 0.1504, nan, nan
38, 0.1685, nan, nan
39, 0.1904, nan, nan
40, 0.2348, nan, nan
41, 0.2675, nan, nan
42, 0.2407, nan, nan
43, 0.2443, nan, nan
44, 0.1818, nan, nan
45, 0.1924, nan, nan
46, 0.2211, nan, nan
47, 0.1738, nan, nan
48, 0.2767, nan, nan
49, 0.2554, nan, nan
50, 0.1860, nan, nan
51, 0.0733, 1.0000, 0.4286
52, 0.1688, 1.0000, 0.1429
53, 0.1754, 1.0000, 0.0000
54, 0.1511, 1.0000, 0.0000
55, 0.5132, 0.0000, 0.0000
56, 0.5521, 0.0000, 0.0000
57, 0.5715, 0.0000, 0.0000
58, 0.5752, 0.0000, 0.1429
59, 0.5948, 0.0000, 0.0000
60, 0.5989, 0.0000, 0.0000
61, 0.6056, 0.0000, 0.1429
62, 0.6015, 0.0000, 0.1429
63, 0.6200, 0.0000, 0.0000
64, 0.6231, 0.0000, 0.0000
65, 0.6416, 0.0000, 0.0000
66, 0.6472, 0.0000, 0.0000
67, 0.6477, 0.0000, 0.1429
68, 0.6413, 0.0000, 0.1429
69, 0.1000, 1.0000, 0.2857
70, 0.1196, 1.0000, 0.0000
71, 0.1300, 1.0000, 0.1429
72, 0.1495, 1.0000, 0.0000
73, 0.2051, 1.0000, 0.0000
74, 0.1288, 1.0000, 0.2857
75, 0.1314, 1.0000, 0.1429
76, 0.1061, 1.0000, 0.0000
77, 0.1699, 1.0000, 0.0000
78, 0.1745, 1.0000, 0.1429
79, 0.2408, 1.0000, 0.0000
80, 0.2598, 1.0000, 0.0000
81, 0.1716, 1.0000, 0.1429
82, 0.2225, 1.0000, 0.1429
83, 0.1927, 1.0000, 0.1429
84, 0.1771, 1.0000, 0.0000
85, 0.1069, 1.0000, 0.4286
86, 0.1607, 1.0000, 0.0000
87, 0.1114, 1.0000, 0.2857
88, 0.1306, 1.0000, 0.1429
89, 0.1700, 1.0000, 0.0000
90, 0.1471, 1.0000, 0.1429
91, 0.0950, 1.0000, 0.2857
