# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=300
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1000, nan, nan
4, 0.1096, nan, nan
5, 0.1137, nan, nan
6, 0.1623, nan, nan
7, 0.1707, nan, nan
8, 0.2795, nan, nan
9, 0.2562, nan, nan
10, 0.2631, nan, nan
11, 0.3345, nan, nan
12, 0.3139, nan, nan
13, 0.2206, nan, nan
14, 0.3206, nan, nan
15, 0.3449, nan, nan
16, 0.3630, nan, nan
17, 0.3101, nan, nan
18, 0.2827, nan, nan
19, 0.3335, nan, nan
20, 0.3483, nan, nan
21, 0.4083, nan, nan
22, 0.3845, nan, nan
23, 0.4052, nan, nan
24, 0.3963, nan, nan
25, 0.3655, nan, nan
26, 0.3820, nan, nan
27, 0.3711, nan, nan
28, 0.3546, nan, nan
29, 0.3763, nan, nan
30, 0.4306, nan, nan
31, 0.4080, nan, nan
32, 0.4567, nan, nan
33, 0.4038, nan, nan
34, 0.3894, nan, nan
35, 0.4305, nan, nan
36, 0.4392, nan, nan
37, 0.4019, nan, nan
38, 0.4274, nan, nan
39, 0.4420, nan, nan
40, 0.4070, nan, nan
41, 0.4244, nan, nan
42, 0.3857, nan, nan
43, 0.5194, nan, nan
44, 0.4846, nan, nan
45, 0.4385, nan, nan
46, 0.4961, nan, nan
47, 0.4434, nan, nan
48, 0.4693, nan, nan
49, 0.4731, nan, nan
50, 0.4338, nan, nan
51, 0.1712, 1.0000, 0.2857
52, 0.1000, 1.0000, 0.2857
53, 0.1016, 1.0000, 0.0000
54, 0.1038, 1.0000, 0.0000
55, 0.0809, 1.0000, 0.0000
56, 0.1052, 1.0000, 0.0000
57, 0.1187, 1.0000, 0.1429
58, 0.1186, 1.0000, 0.1429
59, 0.1063, 1.0000, 0.0000
60, 0.0710, 1.0000, 0.0000
61, 0.0921, 1.0000, 0.1429
62, 0.0834, 1.0000, 0.0000
63, 0.1177, 1.0000, 0.0000
64, 0.1112, 1.0000, 0.1429
65, 0.0986, 1.0000, 0.0000
