# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1828, nan, nan
4, 0.3481, nan, nan
5, 0.4194, nan, nan
6, 0.4588, nan, nan
7, 0.4914, nan, nan
8, 0.5217, nan, nan
9, 0.5328, nan, nan
10, 0.5523, nan, nan
11, 0.5683, nan, nan
12, 0.5749, nan, nan
13, 0.6080, nan, nan
14, 0.6067, nan, nan
15, 0.6437, nan, nan
16, 0.6380, nan, nan
17, 0.6677, nan, nan
18, 0.6436, nan, nan
19, 0.6555, nan, nan
20, 0.6781, nan, nan
21, 0.6798, nan, nan
22, 0.6799, nan, nan
23, 0.6917, nan, nan
24, 0.6973, nan, nan
25, 0.6920, nan, nan
26, 0.6975, nan, nan
27, 0.7065, nan, nan
28, 0.7054, nan, nan
29, 0.7159, nan, nan
30, 0.7153, nan, nan
31, 0.7165, nan, nan
32, 0.7198, nan, nan
33, 0.7251, nan, nan
34, 0.7212, nan, nan
35, 0.7233, nan, nan
36, 0.7310, nan, nan
37, 0.7213, nan, nan
38, 0.7340, nan, nan
39, 0.7260, nan, nan
40, 0.7376, nan, nan
41, 0.7218, nan, nan
42, 0.7327, nan, nan
43, 0.7356, nan, nan
44, 0.7365, nan, nan
45, 0.7379, nan, nan
46, 0.7374, nan, nan
47, 0.7386, nan, nan
48, 0.7379, nan, nan
49, 0.7285, nan, nan
50, 0.7395, nan, nan
51, 0.7408, nan, nan
52, 0.7430, nan, nan
53, 0.7441, nan, nan
54, 0.7440, nan, nan
55, 0.7464, nan, nan
56, 0.7461, nan, nan
57, 0.7432, nan, nan
58, 0.7508, nan, nan
