# use_svdd=True
# num_clients=10, num_benign=5, num_malicious=5
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.0838, nan, nan
2, 0.0997, nan, nan
3, 0.1236, nan, nan
4, 0.1005, nan, nan
5, 0.0953, nan, nan
6, 0.0953, nan, nan
7, 0.1404, nan, nan
8, 0.0876, nan, nan
9, 0.1053, nan, nan
10, 0.1046, nan, nan
11, 0.1170, nan, nan
12, 0.0928, nan, nan
13, 0.1063, nan, nan
14, 0.0968, nan, nan
15, 0.0873, nan, nan
16, 0.1048, nan, nan
17, 0.1008, nan, nan
18, 0.0941, nan, nan
19, 0.1368, nan, nan
20, 0.0922, nan, nan
21, 0.1010, nan, nan
22, 0.1425, nan, nan
23, 0.0958, nan, nan
24, 0.0914, nan, nan
25, 0.1188, nan, nan
26, 0.1191, nan, nan
27, 0.1163, nan, nan
28, 0.0637, nan, nan
29, 0.1230, nan, nan
30, 0.0999, nan, nan
31, 0.0860, nan, nan
32, 0.1166, nan, nan
33, 0.1216, nan, nan
34, 0.1204, nan, nan
35, 0.0945, nan, nan
36, 0.1043, nan, nan
37, 0.1009, nan, nan
38, 0.1231, nan, nan
39, 0.1427, nan, nan
40, 0.1142, nan, nan
41, 0.0724, nan, nan
42, 0.0890, nan, nan
43, 0.0925, nan, nan
44, 0.0915, nan, nan
45, 0.1432, nan, nan
46, 0.1025, nan, nan
47, 0.1000, nan, nan
48, 0.1047, nan, nan
49, 0.1469, nan, nan
50, 0.1154, nan, nan
51, 0.1059, 1.0000, 1.0000
52, 0.1003, 1.0000, 1.0000
53, 0.1000, 1.0000, 1.0000
54, 0.1027, 1.0000, 1.0000
55, 0.1002, 1.0000, 1.0000
