# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=300
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.0995, nan, nan
2, 0.1002, nan, nan
3, 0.1000, nan, nan
4, 0.1160, nan, nan
5, 0.0988, nan, nan
6, 0.1553, nan, nan
7, 0.1947, nan, nan
8, 0.2366, nan, nan
9, 0.2783, nan, nan
10, 0.2841, nan, nan
11, 0.2168, nan, nan
12, 0.2685, nan, nan
13, 0.2176, nan, nan
14, 0.2406, nan, nan
15, 0.2614, nan, nan
16, 0.2814, nan, nan
17, 0.3216, nan, nan
18, 0.3082, nan, nan
19, 0.2864, nan, nan
20, 0.3345, nan, nan
21, 0.3154, nan, nan
22, 0.3049, nan, nan
23, 0.3231, nan, nan
24, 0.3188, nan, nan
25, 0.3757, nan, nan
26, 0.3094, nan, nan
27, 0.2916, nan, nan
28, 0.3131, nan, nan
29, 0.2470, nan, nan
30, 0.3532, nan, nan
31, 0.2658, nan, nan
32, 0.2840, nan, nan
33, 0.3198, nan, nan
34, 0.2392, nan, nan
35, 0.2878, nan, nan
36, 0.2383, nan, nan
37, 0.3064, nan, nan
38, 0.3539, nan, nan
39, 0.2619, nan, nan
40, 0.3046, nan, nan
41, 0.3678, nan, nan
42, 0.3262, nan, nan
43, 0.3051, nan, nan
44, 0.2756, nan, nan
45, 0.2840, nan, nan
46, 0.4202, nan, nan
47, 0.4264, nan, nan
48, 0.4302, nan, nan
49, 0.3829, nan, nan
50, 0.3300, nan, nan
51, 0.2318, 1.0000, 0.2857
52, 0.3076, 1.0000, 0.0000
53, 0.3578, 1.0000, 0.0000
54, 0.3448, 1.0000, 0.0000
55, 0.3739, 1.0000, 0.0000
56, 0.5655, 0.0000, 0.0000
57, 0.6114, 0.0000, 0.0000
58, 0.3803, 1.0000, 0.0000
59, 0.2130, 1.0000, 0.2857
60, 0.5462, 0.0000, 0.0000
61, 0.3710, 1.0000, 0.0000
62, 0.3677, 1.0000, 0.0000
63, 0.5738, 0.0000, 0.0000
64, 0.4154, 1.0000, 0.0000
65, 0.3624, 1.0000, 0.0000
66, 0.5925, 0.0000, 0.0000
67, 0.3929, 1.0000, 0.0000
68, 0.6111, 0.0000, 0.0000
69, 0.3421, 1.0000, 0.0000
70, 0.6177, 0.0000, 0.0000
71, 0.6354, 0.0000, 0.0000
72, 0.6382, 0.0000, 0.0000
73, 0.6498, 0.0000, 0.0000
74, 0.6563, 0.0000, 0.0000
75, 0.6657, 0.0000, 0.1429
76, 0.6706, 0.0000, 0.0000
77, 0.6651, 0.0000, 0.0000
78, 0.6690, 0.0000, 0.0000
79, 0.1000, 1.0000, 0.0000
80, 0.1000, 1.0000, 0.2857
81, 0.1849, 1.0000, 0.0000
82, 0.2348, 1.0000, 0.1429
83, 0.3024, 1.0000, 0.0000
84, 0.2471, 1.0000, 0.0000
85, 0.2451, 1.0000, 0.1429
86, 0.3176, 1.0000, 0.0000
87, 0.2748, 1.0000, 0.0000
88, 0.3952, 1.0000, 0.0000
89, 0.3762, 1.0000, 0.0000
90, 0.2802, 1.0000, 0.1429
91, 0.2647, 1.0000, 0.0000
92, 0.3727, 1.0000, 0.0000
93, 0.3914, 1.0000, 0.1429
94, 0.1913, 1.0000, 0.1429
95, 0.2431, 1.0000, 0.1429
96, 0.3023, 1.0000, 0.0000
97, 0.2812, 1.0000, 0.4286
98, 0.4214, 1.0000, 0.0000
99, 0.2239, 1.0000, 0.2857
100, 0.4500, 1.0000, 0.0000
101, 0.3411, 1.0000, 0.0000
102, 0.1810, 1.0000, 0.2857
103, 0.2694, 1.0000, 0.0000
104, 0.4373, 1.0000, 0.0000
105, 0.5926, 0.0000, 0.0000
106, 0.3160, 1.0000, 0.1429
107, 0.5913, 0.0000, 0.1429
108, 0.4243, 1.0000, 0.0000
109, 0.4611, 1.0000, 0.0000
110, 0.1508, 1.0000, 0.2857
111, 0.3751, 1.0000, 0.0000
112, 0.5864, 0.0000, 0.0000
113, 0.4558, 1.0000, 0.1429
114, 0.1899, 1.0000, 0.4286
115, 0.2947, 1.0000, 0.0000
116, 0.5837, 0.0000, 0.1429
117, 0.2364, 1.0000, 0.1429
118, 0.2960, 1.0000, 0.2857
119, 0.3591, 1.0000, 0.0000
120, 0.5828, 0.0000, 0.0000
121, 0.3864, 1.0000, 0.0000
122, 0.2250, 1.0000, 0.2857
123, 0.2765, 1.0000, 0.1429
124, 0.5838, 0.0000, 0.1429
125, 0.4585, 1.0000, 0.1429
126, 0.2227, 1.0000, 0.2857
127, 0.1424, 1.0000, 0.2857
128, 0.1144, 1.0000, 0.4286
129, 0.1990, 1.0000, 0.2857
130, 0.1578, 1.0000, 0.4286
131, 0.3861, 1.0000, 0.1429
132, 0.2679, 1.0000, 0.2857
133, 0.2381, 1.0000, 0.2857
134, 0.2262, 1.0000, 0.2857
135, 0.3498, 1.0000, 0.1429
136, 0.5751, 0.0000, 0.1429
137, 0.4519, 1.0000, 0.1429
138, 0.5952, 0.0000, 0.0000
139, 0.3726, 1.0000, 0.2857
140, 0.3109, 1.0000, 0.1429
141, 0.6003, 0.0000, 0.0000
142, 0.3601, 1.0000, 0.2857
143, 0.3712, 1.0000, 0.1429
144, 0.5832, 0.0000, 0.1429
145, 0.3372, 1.0000, 0.1429
146, 0.2752, 1.0000, 0.2857
147, 0.2447, 1.0000, 0.2857
148, 0.3452, 0.6667, 0.2857
149, 0.5698, 0.0000, 0.0000
150, 0.2687, 1.0000, 0.2857
151, 0.1884, 1.0000, 0.2857
152, 0.1279, 1.0000, 0.4286
153, 0.2345, 1.0000, 0.2857
154, 0.5596, 0.0000, 0.0000
155, 0.2499, 1.0000, 0.2857
156, 0.2749, 1.0000, 0.2857
157, 0.1562, 1.0000, 0.4286
158, 0.2190, 1.0000, 0.2857
159, 0.5410, 0.0000, 0.2857
160, 0.3005, 1.0000, 0.2857
161, 0.2255, 1.0000, 0.2857
162, 0.1110, 1.0000, 0.5714
163, 0.2353, 1.0000, 0.2857
164, 0.5350, 0.0000, 0.1429
165, 0.3426, 1.0000, 0.2857
166, 0.5832, 0.0000, 0.0000
167, 0.2856, 1.0000, 0.2857
168, 0.5879, 0.0000, 0.1429
169, 0.3031, 1.0000, 0.2857
170, 0.2933, 1.0000, 0.2857
171, 0.1882, 1.0000, 0.4286
172, 0.1752, 1.0000, 0.2857
173, 0.5461, 0.0000, 0.1429
174, 0.3096, 1.0000, 0.2857
175, 0.1912, 1.0000, 0.4286
176, 0.2012, 1.0000, 0.2857
177, 0.5323, 0.0000, 0.1429
178, 0.2361, 1.0000, 0.2857
179, 0.2279, 1.0000, 0.4286
180, 0.2624, 1.0000, 0.2857
