# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=label_flipping
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1329, nan, nan
3, 0.2299, nan, nan
4, 0.3634, nan, nan
5, 0.4386, nan, nan
6, 0.4704, nan, nan
7, 0.4983, nan, nan
8, 0.5064, nan, nan
9, 0.5462, nan, nan
10, 0.5633, nan, nan
11, 0.5832, nan, nan
12, 0.5808, nan, nan
13, 0.6150, nan, nan
14, 0.6277, nan, nan
15, 0.6330, nan, nan
16, 0.6454, nan, nan
17, 0.6372, nan, nan
18, 0.6592, nan, nan
19, 0.6679, nan, nan
20, 0.6830, nan, nan
21, 0.6865, nan, nan
22, 0.6678, nan, nan
23, 0.6828, nan, nan
24, 0.6962, nan, nan
25, 0.6854, nan, nan
26, 0.6990, nan, nan
27, 0.7008, nan, nan
28, 0.7162, nan, nan
29, 0.7146, nan, nan
30, 0.7002, nan, nan
31, 0.7188, nan, nan
32, 0.7226, nan, nan
33, 0.7223, nan, nan
34, 0.7263, nan, nan
35, 0.7339, nan, nan
36, 0.7298, nan, nan
37, 0.7282, nan, nan
38, 0.7243, nan, nan
39, 0.7357, nan, nan
40, 0.7315, nan, nan
41, 0.7340, nan, nan
42, 0.7147, nan, nan
43, 0.7336, nan, nan
44, 0.7430, nan, nan
45, 0.7429, nan, nan
46, 0.7280, nan, nan
47, 0.7325, nan, nan
48, 0.7430, nan, nan
49, 0.7469, nan, nan
50, 0.7479, nan, nan
51, 0.7395, 1.0000, 0.1429
52, 0.7392, 1.0000, 0.1429
53, 0.6138, 1.0000, 0.2857
54, 0.7368, 1.0000, 0.2857
55, 0.7551, 0.3333, 0.1429
56, 0.7210, 0.6667, 0.1429
57, 0.7351, 1.0000, 0.1429
58, 0.7511, 0.6667, 0.1429
59, 0.7329, 0.6667, 0.2857
60, 0.7542, 1.0000, 0.0000
61, 0.7553, 1.0000, 0.0000
62, 0.7555, 0.6667, 0.0000
63, 0.6460, 1.0000, 0.1429
64, 0.7562, 0.6667, 0.0000
65, 0.1744, 1.0000, 0.2857
66, 0.7574, 0.6667, 0.1429
67, 0.7408, 0.6667, 0.1429
68, 0.7522, 1.0000, 0.0000
69, 0.6977, 1.0000, 0.2857
70, 0.7633, 0.6667, 0.0000
71, 0.7519, 0.6667, 0.1429
72, 0.7491, 0.6667, 0.2857
73, 0.7308, 1.0000, 0.1429
74, 0.7576, 1.0000, 0.1429
75, 0.1656, 1.0000, 0.4286
76, 0.7666, 0.6667, 0.0000
77, 0.7561, 0.3333, 0.1429
