# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.0966, nan, nan
4, 0.0996, nan, nan
5, 0.1139, nan, nan
6, 0.1266, nan, nan
7, 0.1970, nan, nan
8, 0.2562, nan, nan
9, 0.3010, nan, nan
10, 0.2396, nan, nan
11, 0.3061, 1.0000, 0.0000
12, 0.3546, 1.0000, 0.0000
13, 0.3467, 1.0000, 0.0000
14, 0.3361, 1.0000, 0.0000
15, 0.3128, 1.0000, 0.0000
16, 0.3153, 1.0000, 0.1429
17, 0.2437, 1.0000, 0.2857
18, 0.3523, 1.0000, 0.0000
19, 0.4919, 0.0000, 0.0000
20, 0.2932, 1.0000, 0.2857
21, 0.3745, 1.0000, 0.0000
22, 0.2744, 1.0000, 0.1429
23, 0.3631, 1.0000, 0.0000
24, 0.4121, 1.0000, 0.0000
25, 0.2746, 1.0000, 0.2857
26, 0.3884, 1.0000, 0.0000
27, 0.3633, 1.0000, 0.1429
28, 0.3908, 1.0000, 0.0000
29, 0.3721, 1.0000, 0.0000
30, 0.3842, 1.0000, 0.0000
31, 0.5258, 0.3333, 0.0000
32, 0.3414, 1.0000, 0.0000
33, 0.5626, 0.0000, 0.0000
34, 0.3531, 1.0000, 0.2857
35, 0.3775, 1.0000, 0.0000
36, 0.4796, 0.6667, 0.0000
37, 0.4448, 1.0000, 0.0000
38, 0.2785, 1.0000, 0.2857
39, 0.2609, 1.0000, 0.2857
40, 0.2596, 1.0000, 0.2857
41, 0.2232, 1.0000, 0.4286
42, 0.3960, 1.0000, 0.1429
43, 0.5542, 0.0000, 0.1429
44, 0.3561, 1.0000, 0.1429
45, 0.5900, 0.0000, 0.0000
46, 0.2881, 1.0000, 0.2857
47, 0.2729, 1.0000, 0.2857
48, 0.3315, 1.0000, 0.2857
49, 0.5677, 0.0000, 0.1429
50, 0.3116, 1.0000, 0.2857
51, 0.5907, 0.0000, 0.2857
52, 0.6002, 0.0000, 0.0000
53, 0.6288, 0.0000, 0.2857
54, 0.6288, 0.0000, 0.1429
55, 0.6415, 0.0000, 0.1429
56, 0.6471, 0.0000, 0.0000
57, 0.6496, 0.0000, 0.1429
58, 0.6486, 0.0000, 0.0000
59, 0.6602, 0.0000, 0.0000
60, 0.1000, 0.3333, 0.0000
61, 0.1000, 1.0000, 0.2857
62, 0.1000, 1.0000, 0.2857
63, 0.1000, 1.0000, 0.2857
64, 0.1430, 1.0000, 0.2857
65, 0.2635, 1.0000, 0.2857
66, 0.5394, 0.0000, 0.1429
67, 0.4699, 1.0000, 0.1429
68, 0.5471, 0.3333, 0.0000
69, 0.2905, 1.0000, 0.2857
70, 0.5879, 0.0000, 0.0000
71, 0.4437, 1.0000, 0.2857
72, 0.1818, 1.0000, 0.4286
73, 0.2128, 1.0000, 0.2857
74, 0.3192, 1.0000, 0.2857
75, 0.3766, 1.0000, 0.1429
76, 0.2822, 1.0000, 0.2857
77, 0.5852, 0.0000, 0.2857
78, 0.3918, 1.0000, 0.2857
79, 0.3351, 1.0000, 0.2857
80, 0.5835, 0.0000, 0.0000
81, 0.3532, 1.0000, 0.2857
82, 0.6104, 0.0000, 0.1429
83, 0.4383, 1.0000, 0.2857
84, 0.6211, 0.0000, 0.1429
85, 0.3564, 1.0000, 0.4286
86, 0.4368, 1.0000, 0.1429
87, 0.2628, 1.0000, 0.2857
88, 0.1600, 1.0000, 0.2857
89, 0.4055, 1.0000, 0.2857
90, 0.3958, 1.0000, 0.2857
91, 0.3095, 1.0000, 0.2857
92, 0.5983, 0.0000, 0.1429
93, 0.4034, 1.0000, 0.2857
94, 0.4663, 0.6667, 0.2857
95, 0.6095, 0.0000, 0.0000
96, 0.4272, 1.0000, 0.2857
97, 0.6150, 0.0000, 0.1429
98, 0.3477, 1.0000, 0.2857
99, 0.6273, 0.0000, 0.0000
100, 0.4220, 1.0000, 0.2857
101, 0.2309, 1.0000, 0.4286
102, 0.3461, 1.0000, 0.2857
103, 0.3423, 1.0000, 0.2857
104, 0.2970, 1.0000, 0.2857
105, 0.3594, 1.0000, 0.2857
106, 0.3268, 1.0000, 0.2857
107, 0.5923, 0.0000, 0.0000
108, 0.4336, 1.0000, 0.2857
109, 0.2418, 1.0000, 0.4286
110, 0.5939, 0.0000, 0.0000
111, 0.3904, 1.0000, 0.2857
112, 0.2896, 1.0000, 0.4286
113, 0.5795, 0.0000, 0.1429
114, 0.4343, 1.0000, 0.2857
115, 0.1533, 1.0000, 0.5714
116, 0.2820, 1.0000, 0.2857
117, 0.4008, 1.0000, 0.2857
118, 0.2550, 1.0000, 0.2857
119, 0.3185, 1.0000, 0.2857
120, 0.2807, 1.0000, 0.1429
121, 0.2924, 1.0000, 0.2857
122, 0.5959, 0.0000, 0.0000
123, 0.5373, 1.0000, 0.1429
124, 0.4144, 1.0000, 0.2857
125, 0.6128, 0.0000, 0.1429
126, 0.4310, 1.0000, 0.2857
127, 0.1949, 1.0000, 0.5714
128, 0.2646, 1.0000, 0.2857
129, 0.2771, 1.0000, 0.2857
130, 0.2963, 1.0000, 0.2857
131, 0.2952, 1.0000, 0.2857
132, 0.3585, 1.0000, 0.2857
133, 0.3029, 1.0000, 0.2857
134, 0.2384, 1.0000, 0.4286
135, 0.1259, 1.0000, 0.7143
136, 0.2157, 1.0000, 0.2857
137, 0.2610, 1.0000, 0.4286
138, 0.5702, 0.0000, 0.1429
139, 0.4175, 1.0000, 0.2857
140, 0.3690, 1.0000, 0.2857
141, 0.1742, 1.0000, 0.2857
142, 0.1990, 1.0000, 0.5714
143, 0.3497, 1.0000, 0.2857
144, 0.3043, 1.0000, 0.2857
145, 0.2365, 1.0000, 0.4286
146, 0.3006, 1.0000, 0.2857
147, 0.2625, 1.0000, 0.2857
148, 0.5781, 0.0000, 0.0000
149, 0.3963, 1.0000, 0.2857
150, 0.4051, 1.0000, 0.2857
151, 0.3307, 0.6667, 0.2857
152, 0.1205, 1.0000, 0.7143
153, 0.2917, 1.0000, 0.2857
154, 0.2293, 1.0000, 0.4286
155, 0.0880, 1.0000, 0.7143
156, 0.2126, 1.0000, 0.2857
157, 0.2223, 1.0000, 0.4286
158, 0.5509, 0.0000, 0.1429
159, 0.2607, 1.0000, 0.2857
160, 0.3746, 1.0000, 0.2857
161, 0.1548, 1.0000, 0.5714
162, 0.3592, 1.0000, 0.2857
163, 0.3071, 1.0000, 0.2857
164, 0.5671, 0.0000, 0.2857
165, 0.4798, 1.0000, 0.2857
166, 0.3671, 1.0000, 0.2857
167, 0.2448, 1.0000, 0.4286
168, 0.1819, 1.0000, 0.5714
169, 0.3729, 1.0000, 0.2857
170, 0.4605, 1.0000, 0.1429
171, 0.5879, 0.0000, 0.0000
172, 0.3317, 1.0000, 0.2857
173, 0.3331, 1.0000, 0.2857
174, 0.2024, 1.0000, 0.4286
175, 0.5735, 0.0000, 0.1429
176, 0.4094, 1.0000, 0.2857
177, 0.3210, 1.0000, 0.2857
178, 0.3835, 1.0000, 0.2857
179, 0.2434, 1.0000, 0.4286
