# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=label_flipping
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.2054, nan, nan
4, 0.3846, nan, nan
5, 0.4277, nan, nan
6, 0.4714, nan, nan
7, 0.5132, nan, nan
8, 0.5311, nan, nan
9, 0.5513, nan, nan
10, 0.5742, nan, nan
11, 0.5945, 0.6667, 0.1429
12, 0.5979, 0.6667, 0.0000
13, 0.6240, 0.3333, 0.1429
14, 0.1990, 1.0000, 0.4286
15, 0.6508, 1.0000, 0.0000
16, 0.5795, 1.0000, 0.2857
17, 0.6555, 1.0000, 0.2857
18, 0.0587, 1.0000, 0.7143
19, 0.6879, 0.3333, 0.0000
20, 0.6274, 1.0000, 0.1429
21, 0.6643, 0.6667, 0.4286
22, 0.6908, 0.6667, 0.0000
23, 0.6717, 1.0000, 0.1429
24, 0.7121, 0.6667, 0.1429
25, 0.6711, 1.0000, 0.1429
26, 0.5997, 1.0000, 0.4286
27, 0.7187, 0.6667, 0.1429
28, 0.7042, 0.6667, 0.2857
29, 0.0772, 1.0000, 0.5714
30, 0.7257, 0.3333, 0.1429
31, 0.0569, 1.0000, 0.5714
32, 0.7262, 1.0000, 0.2857
33, 0.0905, 1.0000, 0.5714
34, 0.6955, 1.0000, 0.4286
35, 0.7091, 0.6667, 0.4286
36, 0.7335, 0.3333, 0.2857
37, 0.7345, 0.3333, 0.1429
38, 0.7383, 0.6667, 0.1429
39, 0.0525, 1.0000, 0.5714
40, 0.7262, 0.6667, 0.2857
41, 0.7396, 0.3333, 0.2857
42, 0.7328, 0.3333, 0.4286
43, 0.7389, 0.3333, 0.2857
44, 0.0585, 1.0000, 0.5714
45, 0.7397, 1.0000, 0.4286
46, 0.0602, 1.0000, 0.5714
47, 0.7481, 0.3333, 0.0000
48, 0.7482, 0.3333, 0.2857
49, 0.5836, 1.0000, 0.2857
50, 0.7187, 0.6667, 0.4286
51, 0.6505, 1.0000, 0.2857
52, 0.0427, 1.0000, 0.7143
53, 0.7213, 1.0000, 0.4286
54, 0.7436, 0.6667, 0.2857
55, 0.0412, 1.0000, 0.7143
56, 0.6621, 1.0000, 0.5714
57, 0.7526, 0.3333, 0.1429
58, 0.6112, 0.6667, 0.4286
59, 0.6478, 0.6667, 0.5714
60, 0.7577, 0.3333, 0.2857
61, 0.7497, 0.6667, 0.2857
62, 0.7480, 0.6667, 0.4286
63, 0.7404, 1.0000, 0.1429
