# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.0996, nan, nan
4, 0.1003, nan, nan
5, 0.1377, nan, nan
6, 0.1026, nan, nan
7, 0.2186, nan, nan
8, 0.1961, nan, nan
9, 0.1562, nan, nan
10, 0.2071, nan, nan
11, 0.1937, nan, nan
12, 0.2793, nan, nan
13, 0.2244, nan, nan
14, 0.2427, nan, nan
15, 0.3054, nan, nan
16, 0.2650, nan, nan
17, 0.2509, nan, nan
18, 0.2242, nan, nan
19, 0.2204, nan, nan
20, 0.2500, nan, nan
21, 0.3473, nan, nan
22, 0.2391, nan, nan
23, 0.2204, nan, nan
24, 0.2000, nan, nan
25, 0.2546, nan, nan
26, 0.3244, nan, nan
27, 0.3067, nan, nan
28, 0.3336, nan, nan
29, 0.3553, nan, nan
30, 0.3582, nan, nan
31, 0.3188, nan, nan
32, 0.2934, nan, nan
33, 0.2513, nan, nan
34, 0.2825, nan, nan
35, 0.3785, nan, nan
36, 0.3591, nan, nan
37, 0.3226, nan, nan
38, 0.3185, nan, nan
39, 0.3068, nan, nan
40, 0.3103, nan, nan
41, 0.4086, nan, nan
42, 0.3776, nan, nan
43, 0.2611, nan, nan
44, 0.3414, nan, nan
45, 0.3946, nan, nan
46, 0.3306, nan, nan
47, 0.3018, nan, nan
48, 0.2742, nan, nan
49, 0.3388, nan, nan
50, 0.3409, nan, nan
51, 0.1771, 1.0000, 0.2857
52, 0.3430, 1.0000, 0.0000
53, 0.1291, 1.0000, 0.4286
54, 0.5440, 0.0000, 0.0000
55, 0.4623, 1.0000, 0.0000
56, 0.3753, 1.0000, 0.0000
57, 0.4360, 1.0000, 0.0000
58, 0.3074, 1.0000, 0.1429
59, 0.5774, 0.0000, 0.1429
60, 0.4433, 1.0000, 0.0000
61, 0.2872, 1.0000, 0.1429
62, 0.5763, 0.0000, 0.0000
63, 0.3856, 1.0000, 0.0000
64, 0.2896, 1.0000, 0.0000
65, 0.3482, 1.0000, 0.0000
66, 0.3726, 1.0000, 0.0000
67, 0.3487, 1.0000, 0.0000
68, 0.1716, 1.0000, 0.4286
69, 0.2391, 1.0000, 0.1429
70, 0.5473, 0.0000, 0.0000
71, 0.4137, 1.0000, 0.0000
72, 0.1210, 1.0000, 0.2857
73, 0.3310, 1.0000, 0.0000
74, 0.3166, 1.0000, 0.1429
75, 0.2227, 1.0000, 0.2857
76, 0.3673, 1.0000, 0.0000
77, 0.3871, 1.0000, 0.0000
78, 0.2617, 1.0000, 0.2857
79, 0.3886, 1.0000, 0.0000
80, 0.3557, 1.0000, 0.0000
81, 0.5713, 0.0000, 0.1429
82, 0.3720, 1.0000, 0.1429
83, 0.5902, 0.0000, 0.1429
84, 0.4152, 1.0000, 0.1429
85, 0.1950, 1.0000, 0.2857
86, 0.2541, 1.0000, 0.2857
87, 0.0873, 1.0000, 0.7143
88, 0.2322, 1.0000, 0.1429
89, 0.5210, 0.0000, 0.0000
90, 0.3643, 1.0000, 0.1429
91, 0.2158, 1.0000, 0.2857
92, 0.2615, 1.0000, 0.2857
93, 0.2716, 1.0000, 0.2857
94, 0.2400, 1.0000, 0.2857
95, 0.5591, 0.0000, 0.1429
96, 0.4139, 1.0000, 0.0000
97, 0.2390, 1.0000, 0.2857
98, 0.1957, 1.0000, 0.2857
99, 0.4491, 1.0000, 0.0000
100, 0.2707, 0.6667, 0.2857
101, 0.1564, 1.0000, 0.5714
102, 0.1676, 1.0000, 0.2857
103, 0.5194, 0.0000, 0.1429
104, 0.3169, 1.0000, 0.2857
105, 0.5476, 0.0000, 0.1429
106, 0.2341, 1.0000, 0.2857
107, 0.5480, 0.0000, 0.1429
108, 0.3619, 1.0000, 0.2857
109, 0.1095, 1.0000, 0.5714
110, 0.2351, 1.0000, 0.2857
111, 0.2476, 1.0000, 0.2857
112, 0.5253, 0.0000, 0.0000
113, 0.2690, 1.0000, 0.2857
114, 0.1436, 1.0000, 0.5714
115, 0.2201, 1.0000, 0.2857
116, 0.2267, 1.0000, 0.2857
117, 0.5265, 0.0000, 0.0000
118, 0.2805, 1.0000, 0.2857
119, 0.1359, 1.0000, 0.7143
120, 0.2070, 1.0000, 0.2857
121, 0.1838, 1.0000, 0.4286
122, 0.5073, 0.0000, 0.0000
123, 0.2968, 1.0000, 0.2857
124, 0.2393, 1.0000, 0.1429
125, 0.2796, 1.0000, 0.2857
126, 0.1432, 1.0000, 0.4286
127, 0.2667, 1.0000, 0.1429
128, 0.1298, 1.0000, 0.4286
129, 0.5385, 0.0000, 0.2857
130, 0.3522, 1.0000, 0.2857
131, 0.2395, 1.0000, 0.2857
132, 0.2197, 1.0000, 0.2857
133, 0.2360, 1.0000, 0.2857
134, 0.2649, 1.0000, 0.2857
135, 0.1153, 1.0000, 0.7143
136, 0.2217, 1.0000, 0.2857
137, 0.5116, 0.0000, 0.0000
138, 0.3749, 1.0000, 0.2857
139, 0.2938, 1.0000, 0.2857
140, 0.3207, 1.0000, 0.2857
141, 0.1366, 1.0000, 0.5714
142, 0.2910, 1.0000, 0.2857
143, 0.1964, 1.0000, 0.2857
144, 0.2041, 1.0000, 0.2857
145, 0.4236, 0.3333, 0.2857
146, 0.3765, 1.0000, 0.1429
147, 0.1019, 1.0000, 0.5714
148, 0.1510, 1.0000, 0.2857
149, 0.1586, 1.0000, 0.4286
150, 0.5222, 0.0000, 0.0000
151, 0.3461, 1.0000, 0.2857
152, 0.3594, 1.0000, 0.1429
153, 0.1627, 1.0000, 0.4286
154, 0.1041, 1.0000, 0.5714
155, 0.1855, 1.0000, 0.2857
156, 0.1767, 1.0000, 0.2857
157, 0.2219, 1.0000, 0.2857
158, 0.1170, 1.0000, 0.5714
159, 0.1011, 1.0000, 0.5714
160, 0.1569, 1.0000, 0.2857
161, 0.5260, 0.0000, 0.1429
162, 0.3547, 1.0000, 0.2857
163, 0.2607, 1.0000, 0.2857
164, 0.1346, 1.0000, 0.5714
165, 0.1839, 1.0000, 0.2857
166, 0.1773, 1.0000, 0.4286
167, 0.2410, 1.0000, 0.2857
168, 0.1494, 1.0000, 0.5714
169, 0.5213, 0.0000, 0.0000
170, 0.3747, 1.0000, 0.2857
171, 0.3057, 1.0000, 0.2857
172, 0.2432, 1.0000, 0.4286
173, 0.3059, 1.0000, 0.2857
174, 0.1596, 1.0000, 0.4286
175, 0.0852, 1.0000, 0.7143
176, 0.1818, 1.0000, 0.2857
177, 0.2844, 1.0000, 0.2857
178, 0.1336, 1.0000, 0.5714
179, 0.4976, 0.0000, 0.1429
180, 0.3740, 1.0000, 0.2857
181, 0.3598, 1.0000, 0.1429
182, 0.1790, 1.0000, 0.2857
183, 0.5508, 0.0000, 0.0000
184, 0.3501, 1.0000, 0.2857
185, 0.1480, 1.0000, 0.5714
186, 0.2820, 1.0000, 0.1429
187, 0.5503, 0.0000, 0.0000
188, 0.3810, 1.0000, 0.2857
189, 0.1563, 1.0000, 0.5714
190, 0.1261, 1.0000, 0.2857
191, 0.2360, 1.0000, 0.1429
192, 0.1532, 1.0000, 0.5714
193, 0.1291, 1.0000, 0.5714
194, 0.2317, 1.0000, 0.2857
195, 0.3479, 0.6667, 0.1429
196, 0.3297, 1.0000, 0.2857
197, 0.3697, 1.0000, 0.1429
198, 0.2907, 1.0000, 0.2857
199, 0.5516, 0.0000, 0.1429
200, 0.4011, 1.0000, 0.2857
