# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1095, nan, nan
4, 0.2406, nan, nan
5, 0.3348, nan, nan
6, 0.3661, nan, nan
7, 0.3932, nan, nan
8, 0.4384, nan, nan
9, 0.4065, nan, nan
10, 0.4398, nan, nan
11, 0.4840, nan, nan
12, 0.4808, nan, nan
13, 0.4799, nan, nan
14, 0.5098, nan, nan
15, 0.5116, nan, nan
16, 0.5325, nan, nan
17, 0.5316, nan, nan
18, 0.5550, nan, nan
19, 0.5047, nan, nan
20, 0.5455, nan, nan
21, 0.4970, nan, nan
22, 0.5213, nan, nan
23, 0.5319, nan, nan
24, 0.5386, nan, nan
25, 0.5352, nan, nan
26, 0.5381, nan, nan
27, 0.5435, nan, nan
28, 0.5674, nan, nan
29, 0.5715, nan, nan
30, 0.6025, nan, nan
31, 0.6035, nan, nan
32, 0.5886, nan, nan
33, 0.5928, nan, nan
34, 0.6101, nan, nan
35, 0.5904, nan, nan
36, 0.6173, nan, nan
37, 0.5954, nan, nan
38, 0.5805, nan, nan
39, 0.5726, nan, nan
40, 0.6157, nan, nan
41, 0.5626, nan, nan
42, 0.6232, nan, nan
43, 0.5555, nan, nan
44, 0.5870, nan, nan
45, 0.6034, nan, nan
46, 0.5923, nan, nan
47, 0.5950, nan, nan
48, 0.5954, nan, nan
49, 0.6106, nan, nan
50, 0.5998, nan, nan
51, 0.1000, 0.6667, 0.1429
52, 0.1000, 1.0000, 0.0000
53, 0.1000, 1.0000, 0.0000
54, 0.1071, 1.0000, 0.0000
55, 0.1133, 1.0000, 0.0000
56, 0.1095, 1.0000, 0.0000
57, 0.1116, 1.0000, 0.0000
58, 0.1233, 1.0000, 0.0000
59, 0.2984, 0.0000, 0.0000
60, 0.1307, 1.0000, 0.0000
61, 0.4108, 0.0000, 0.0000
62, 0.1339, 1.0000, 0.0000
63, 0.4747, 0.0000, 0.0000
64, 0.1116, 1.0000, 0.0000
65, 0.4416, 0.0000, 0.0000
66, 0.1518, 1.0000, 0.0000
67, 0.1220, 1.0000, 0.0000
68, 0.1353, 1.0000, 0.0000
69, 0.1219, 1.0000, 0.1429
70, 0.1090, 1.0000, 0.1429
71, 0.0966, 1.0000, 0.2857
72, 0.1451, 1.0000, 0.0000
73, 0.4127, 0.0000, 0.0000
74, 0.1311, 1.0000, 0.1429
75, 0.1818, 1.0000, 0.0000
76, 0.1257, 1.0000, 0.1429
77, 0.4352, 0.0000, 0.0000
78, 0.1891, 1.0000, 0.0000
79, 0.1221, 1.0000, 0.2857
80, 0.0851, 1.0000, 0.0000
81, 0.4431, 0.0000, 0.0000
82, 0.1565, 1.0000, 0.0000
83, 0.1001, 1.0000, 0.4286
84, 0.1293, 1.0000, 0.0000
85, 0.4068, 0.0000, 0.0000
86, 0.1271, 1.0000, 0.1429
87, 0.4835, 0.0000, 0.1429
88, 0.0981, 1.0000, 0.1429
89, 0.1196, 1.0000, 0.2857
90, 0.0815, 1.0000, 0.1429
91, 0.0899, 1.0000, 0.4286
92, 0.0993, 1.0000, 0.5714
93, 0.0978, 1.0000, 0.1429
94, 0.1073, 1.0000, 0.4286
