# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1813, nan, nan
4, 0.3565, nan, nan
5, 0.4448, nan, nan
6, 0.4688, nan, nan
7, 0.5165, nan, nan
8, 0.5301, nan, nan
9, 0.5654, nan, nan
10, 0.5841, nan, nan
11, 0.5927, 0.5000, 0.1250
12, 0.6121, 0.0000, 0.1250
13, 0.6319, 1.0000, 0.0000
14, 0.6530, 1.0000, 0.2500
15, 0.6543, 0.0000, 0.3750
16, 0.6556, 1.0000, 0.3750
17, 0.6747, 0.5000, 0.1250
18, 0.6772, 1.0000, 0.1250
19, 0.6822, 0.5000, 0.5000
20, 0.6892, 1.0000, 0.2500
21, 0.6880, 0.5000, 0.5000
22, 0.7009, 0.5000, 0.3750
23, 0.6896, 1.0000, 0.5000
24, 0.7067, 0.5000, 0.2500
25, 0.7044, 1.0000, 0.3750
26, 0.7044, 0.0000, 0.3750
27, 0.7099, 0.0000, 0.2500
28, 0.7067, 1.0000, 0.5000
29, 0.7193, 0.5000, 0.3750
30, 0.7103, 0.5000, 0.1250
31, 0.3581, 1.0000, 0.6250
32, 0.7134, 0.5000, 0.5000
33, 0.5634, 1.0000, 0.3750
34, 0.7029, 0.5000, 0.3750
35, 0.7162, 0.5000, 0.3750
36, 0.1442, 1.0000, 0.5000
37, 0.7216, 0.5000, 0.2500
38, 0.7001, 0.5000, 0.3750
39, 0.7204, 0.0000, 0.2500
40, 0.6822, 0.5000, 0.3750
41, 0.7217, 0.5000, 0.3750
42, 0.7322, 0.5000, 0.3750
43, 0.7067, 1.0000, 0.3750
44, 0.7303, 0.5000, 0.3750
45, 0.7284, 0.0000, 0.1250
46, 0.7341, 0.5000, 0.2500
47, 0.7274, 0.0000, 0.2500
48, 0.0966, 1.0000, 0.5000
49, 0.6705, 1.0000, 0.3750
50, 0.7379, 0.5000, 0.2500
51, 0.7445, 0.0000, 0.2500
52, 0.7290, 0.5000, 0.3750
53, 0.0563, 1.0000, 0.5000
54, 0.7196, 0.5000, 0.2500
55, 0.7319, 0.0000, 0.2500
56, 0.7484, 0.0000, 0.2500
57, 0.7476, 0.5000, 0.3750
58, 0.7413, 0.5000, 0.3750
59, 0.7371, 0.5000, 0.3750
60, 0.0462, 1.0000, 0.5000
61, 0.7378, 0.5000, 0.1250
62, 0.4955, 1.0000, 0.2500
63, 0.7390, 0.5000, 0.3750
64, 0.3851, 1.0000, 0.3750
65, 0.3458, 1.0000, 0.5000
66, 0.7529, 1.0000, 0.2500
67, 0.4057, 1.0000, 0.6250
68, 0.7316, 0.5000, 0.2500
69, 0.7302, 0.5000, 0.5000
70, 0.7462, 0.0000, 0.2500
71, 0.7403, 0.5000, 0.2500
72, 0.2343, 1.0000, 0.1250
73, 0.7479, 0.5000, 0.3750
74, 0.6989, 0.5000, 0.5000
75, 0.7088, 1.0000, 0.5000
76, 0.7282, 1.0000, 0.5000
77, 0.7381, 0.5000, 0.5000
78, 0.7501, 0.0000, 0.3750
79, 0.1628, 0.5000, 0.5000
80, 0.7446, 0.5000, 0.5000
81, 0.7386, 0.5000, 0.2500
82, 0.0651, 1.0000, 0.5000
83, 0.7455, 0.5000, 0.2500
84, 0.4925, 1.0000, 0.3750
85, 0.7361, 1.0000, 0.5000
86, 0.7358, 0.5000, 0.3750
87, 0.3155, 1.0000, 0.5000
88, 0.7496, 0.5000, 0.5000
89, 0.7489, 0.5000, 0.1250
90, 0.7362, 0.5000, 0.3750
91, 0.6535, 0.5000, 0.5000
92, 0.7559, 0.5000, 0.1250
93, 0.5998, 1.0000, 0.2500
94, 0.7452, 0.5000, 0.5000
95, 0.5027, 0.5000, 0.2500
96, 0.7498, 1.0000, 0.3750
97, 0.7539, 0.0000, 0.2500
98, 0.7391, 0.0000, 0.3750
99, 0.0632, 1.0000, 0.2500
100, 0.6856, 1.0000, 0.3750
101, 0.5536, 0.5000, 0.3750
102, 0.7542, 1.0000, 0.5000
103, 0.7294, 0.5000, 0.5000
104, 0.7385, 0.5000, 0.2500
105, 0.7536, 0.5000, 0.1250
106, 0.7443, 0.5000, 0.5000
107, 0.7440, 0.5000, 0.1250
108, 0.7511, 0.5000, 0.3750
109, 0.7293, 0.5000, 0.2500
110, 0.7537, 1.0000, 0.2500
111, 0.7483, 1.0000, 0.3750
112, 0.2340, 1.0000, 0.2500
113, 0.7566, 1.0000, 0.3750
114, 0.7316, 1.0000, 0.5000
115, 0.7018, 1.0000, 0.3750
116, 0.7544, 0.5000, 0.3750
117, 0.7464, 1.0000, 0.3750
118, 0.7526, 0.5000, 0.3750
119, 0.6975, 1.0000, 0.5000
120, 0.6914, 1.0000, 0.3750
121, 0.7461, 1.0000, 0.2500
122, 0.7295, 0.5000, 0.3750
123, 0.7477, 1.0000, 0.3750
124, 0.7207, 0.5000, 0.5000
125, 0.7462, 0.0000, 0.1250
126, 0.7519, 0.0000, 0.2500
127, 0.7519, 0.5000, 0.5000
128, 0.7524, 1.0000, 0.2500
129, 0.7338, 0.5000, 0.3750
130, 0.4770, 1.0000, 0.5000
131, 0.7335, 0.5000, 0.5000
132, 0.7364, 0.5000, 0.5000
133, 0.7555, 0.5000, 0.3750
134, 0.7143, 1.0000, 0.5000
135, 0.7427, 1.0000, 0.5000
136, 0.7519, 0.5000, 0.3750
137, 0.7429, 0.0000, 0.2500
138, 0.7359, 1.0000, 0.6250
139, 0.7505, 0.5000, 0.3750
140, 0.1005, 1.0000, 0.6250
141, 0.7342, 0.5000, 0.5000
142, 0.7584, 0.0000, 0.2500
143, 0.7533, 0.5000, 0.3750
144, 0.7533, 0.5000, 0.5000
145, 0.7519, 0.0000, 0.3750
146, 0.7445, 0.5000, 0.2500
147, 0.5360, 1.0000, 0.5000
148, 0.7463, 1.0000, 0.3750
149, 0.3384, 0.5000, 0.5000
150, 0.7244, 0.5000, 0.2500
151, 0.7296, 1.0000, 0.6250
152, 0.7064, 1.0000, 0.2500
153, 0.7418, 0.5000, 0.3750
