# use_svdd=True
# num_clients=10, num_benign=5, num_malicious=5
# attack_type=label_flipping
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1571, nan, nan
4, 0.1696, nan, nan
5, 0.3543, nan, nan
6, 0.2914, nan, nan
7, 0.2810, nan, nan
8, 0.3423, nan, nan
9, 0.3595, nan, nan
10, 0.2901, nan, nan
11, 0.4207, nan, nan
12, 0.2005, nan, nan
13, 0.4625, nan, nan
14, 0.2123, nan, nan
15, 0.5803, nan, nan
16, 0.2110, nan, nan
17, 0.5289, nan, nan
18, 0.1750, nan, nan
19, 0.5622, nan, nan
20, 0.1531, nan, nan
21, 0.5737, nan, nan
22, 0.1924, nan, nan
23, 0.6435, nan, nan
24, 0.1150, nan, nan
25, 0.5684, nan, nan
26, 0.1312, nan, nan
27, 0.6234, nan, nan
28, 0.1283, nan, nan
29, 0.6689, nan, nan
30, 0.1367, nan, nan
31, 0.6593, nan, nan
32, 0.1186, nan, nan
33, 0.6299, nan, nan
34, 0.1685, nan, nan
35, 0.6435, nan, nan
36, 0.0780, nan, nan
37, 0.6963, nan, nan
38, 0.0615, nan, nan
39, 0.6175, nan, nan
40, 0.1598, nan, nan
41, 0.6596, nan, nan
42, 0.0915, nan, nan
43, 0.6396, nan, nan
44, 0.0689, nan, nan
45, 0.6886, nan, nan
46, 0.0760, nan, nan
47, 0.6717, nan, nan
48, 0.0602, nan, nan
49, 0.6491, nan, nan
50, 0.0726, nan, nan
51, 0.1617, 1.0000, 0.2000
52, 0.4854, 1.0000, 0.0000
53, 0.3432, 1.0000, 0.0000
54, 0.7429, 0.4000, 0.0000
55, 0.0445, 1.0000, 0.0000
56, 0.7382, 1.0000, 0.0000
57, 0.0667, 1.0000, 0.2000
58, 0.7424, 0.8000, 0.0000
59, 0.0598, 0.8000, 0.2000
60, 0.0447, 1.0000, 0.6000
61, 0.7435, 0.6000, 0.2000
62, 0.0471, 0.8000, 0.2000
63, 0.7094, 0.8000, 0.2000
64, 0.1032, 0.8000, 0.2000
65, 0.6395, 1.0000, 0.0000
66, 0.0758, 1.0000, 0.0000
67, 0.6421, 0.8000, 0.2000
68, 0.0376, 1.0000, 0.4000
69, 0.0434, 0.8000, 0.6000
70, 0.7573, 0.2000, 0.2000
71, 0.5166, 0.6000, 0.0000
72, 0.0480, 1.0000, 0.2000
73, 0.0505, 1.0000, 0.4000
74, 0.7361, 0.6000, 0.2000
75, 0.0718, 0.8000, 0.2000
76, 0.7139, 0.6000, 0.2000
77, 0.2046, 0.8000, 0.0000
78, 0.0535, 1.0000, 0.2000
79, 0.7231, 0.8000, 0.0000
80, 0.0466, 1.0000, 0.2000
81, 0.7587, 0.4000, 0.2000
82, 0.1066, 0.6000, 0.2000
83, 0.7434, 0.4000, 0.4000
84, 0.0397, 0.8000, 0.4000
85, 0.0420, 1.0000, 0.4000
86, 0.7366, 0.6000, 0.2000
87, 0.0421, 1.0000, 0.4000
88, 0.7605, 0.8000, 0.0000
89, 0.7417, 0.4000, 0.2000
90, 0.0509, 0.8000, 0.2000
91, 0.1407, 0.8000, 0.4000
92, 0.0388, 0.8000, 0.6000
93, 0.7567, 0.4000, 0.0000
94, 0.0400, 1.0000, 0.4000
95, 0.1107, 1.0000, 0.4000
96, 0.0470, 0.6000, 0.6000
97, 0.7574, 0.6000, 0.2000
98, 0.1049, 0.6000, 0.4000
99, 0.7611, 0.4000, 0.2000
100, 0.0425, 0.8000, 0.4000
101, 0.7512, 0.6000, 0.2000
102, 0.0423, 0.8000, 0.4000
103, 0.0364, 0.8000, 0.8000
104, 0.7419, 0.8000, 0.2000
105, 0.5385, 0.6000, 0.2000
106, 0.2291, 0.6000, 0.4000
107, 0.4473, 0.6000, 0.4000
108, 0.0396, 0.8000, 0.6000
109, 0.7288, 0.6000, 0.4000
110, 0.4719, 0.6000, 0.2000
111, 0.7468, 0.6000, 0.2000
112, 0.0762, 0.6000, 0.4000
113, 0.6629, 0.6000, 0.4000
114, 0.0346, 1.0000, 0.8000
115, 0.7533, 0.6000, 0.2000
116, 0.0586, 0.6000, 0.4000
117, 0.0760, 0.8000, 0.4000
118, 0.0516, 1.0000, 0.4000
119, 0.6822, 0.6000, 0.4000
120, 0.6723, 0.6000, 0.2000
121, 0.0825, 0.8000, 0.2000
122, 0.0390, 1.0000, 0.6000
123, 0.7604, 0.4000, 0.4000
124, 0.0390, 0.8000, 0.4000
125, 0.3456, 0.8000, 0.4000
126, 0.0511, 0.8000, 0.4000
127, 0.7547, 0.6000, 0.0000
128, 0.7541, 0.4000, 0.2000
129, 0.5931, 0.6000, 0.2000
130, 0.7476, 0.6000, 0.2000
131, 0.0386, 0.8000, 0.4000
132, 0.7652, 0.4000, 0.4000
133, 0.7638, 0.4000, 0.0000
134, 0.3841, 0.6000, 0.2000
135, 0.4940, 0.6000, 0.4000
136, 0.3551, 0.6000, 0.4000
137, 0.5162, 0.6000, 0.4000
138, 0.0410, 0.8000, 0.4000
139, 0.7552, 0.6000, 0.2000
140, 0.7375, 0.4000, 0.2000
141, 0.7682, 0.4000, 0.0000
142, 0.0384, 0.8000, 0.4000
143, 0.7623, 0.6000, 0.2000
144, 0.0616, 0.6000, 0.4000
145, 0.0366, 0.8000, 0.8000
146, 0.0595, 0.8000, 0.6000
147, 0.7698, 0.2000, 0.0000
148, 0.0539, 0.8000, 0.2000
149, 0.7242, 0.8000, 0.2000
150, 0.4530, 0.6000, 0.4000
151, 0.4985, 0.6000, 0.4000
152, 0.0370, 0.8000, 0.8000
153, 0.0417, 1.0000, 0.6000
154, 0.6914, 0.6000, 0.4000
155, 0.2117, 0.6000, 0.4000
156, 0.0474, 0.8000, 0.6000
157, 0.7477, 0.8000, 0.2000
158, 0.7440, 0.4000, 0.4000
159, 0.7559, 0.6000, 0.2000
160, 0.7565, 0.4000, 0.4000
161, 0.0372, 0.8000, 0.6000
162, 0.7607, 0.4000, 0.2000
163, 0.5085, 0.6000, 0.2000
164, 0.0428, 0.6000, 0.6000
165, 0.6686, 0.6000, 0.4000
166, 0.7631, 0.4000, 0.2000
167, 0.4698, 0.6000, 0.2000
168, 0.3326, 0.6000, 0.4000
169, 0.0332, 1.0000, 0.8000
170, 0.7533, 0.4000, 0.2000
171, 0.0489, 0.6000, 0.4000
172, 0.0480, 0.6000, 0.6000
173, 0.6273, 0.6000, 0.4000
174, 0.7404, 0.4000, 0.4000
175, 0.0485, 0.8000, 0.4000
176, 0.2320, 0.8000, 0.4000
177, 0.7594, 0.4000, 0.2000
178, 0.0380, 0.8000, 0.4000
179, 0.7195, 0.8000, 0.2000
180, 0.7432, 0.4000, 0.4000
181, 0.1901, 0.6000, 0.4000
182, 0.3821, 0.6000, 0.4000
183, 0.0428, 0.8000, 0.6000
184, 0.7620, 0.6000, 0.0000
185, 0.0391, 0.8000, 0.6000
186, 0.0433, 0.8000, 0.6000
187, 0.7573, 0.6000, 0.2000
188, 0.0433, 0.8000, 0.4000
189, 0.3046, 0.8000, 0.4000
190, 0.3174, 0.8000, 0.2000
191, 0.4313, 0.8000, 0.2000
192, 0.3595, 0.6000, 0.4000
193, 0.0343, 1.0000, 0.6000
194, 0.3982, 0.6000, 0.6000
195, 0.7677, 0.4000, 0.0000
196, 0.0680, 0.8000, 0.2000
197, 0.6509, 0.6000, 0.4000
198, 0.1549, 0.8000, 0.2000
199, 0.0396, 0.8000, 0.6000
200, 0.7523, 0.6000, 0.4000
