# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1218, nan, nan
3, 0.1000, nan, nan
4, 0.1063, nan, nan
5, 0.1330, nan, nan
6, 0.1096, nan, nan
7, 0.1380, nan, nan
8, 0.1368, nan, nan
9, 0.1299, nan, nan
10, 0.1310, nan, nan
11, 0.1303, nan, nan
12, 0.1148, nan, nan
13, 0.1605, nan, nan
14, 0.1171, nan, nan
15, 0.1495, nan, nan
16, 0.1600, nan, nan
17, 0.1447, nan, nan
18, 0.1329, nan, nan
19, 0.1271, nan, nan
20, 0.1579, nan, nan
21, 0.1554, nan, nan
22, 0.1746, nan, nan
23, 0.1384, nan, nan
24, 0.1368, nan, nan
25, 0.1789, nan, nan
26, 0.1383, nan, nan
27, 0.1529, nan, nan
28, 0.1232, nan, nan
29, 0.1797, nan, nan
30, 0.1762, nan, nan
31, 0.1767, nan, nan
32, 0.1736, nan, nan
33, 0.1197, nan, nan
34, 0.1526, nan, nan
35, 0.1468, nan, nan
36, 0.0996, nan, nan
37, 0.1572, nan, nan
38, 0.1379, nan, nan
39, 0.1522, nan, nan
40, 0.1741, nan, nan
41, 0.1315, nan, nan
42, 0.1110, nan, nan
43, 0.1260, nan, nan
44, 0.1687, nan, nan
45, 0.1144, nan, nan
46, 0.1538, nan, nan
47, 0.1134, nan, nan
48, 0.1584, nan, nan
49, 0.1107, nan, nan
50, 0.1103, nan, nan
51, 0.0814, 1.0000, 0.2857
52, 0.1224, 1.0000, 0.1429
53, 0.1113, 1.0000, 0.0000
54, 0.1355, 1.0000, 0.1429
