# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1000, nan, nan
4, 0.1020, nan, nan
5, 0.1043, nan, nan
6, 0.1143, nan, nan
7, 0.1974, nan, nan
8, 0.2106, nan, nan
9, 0.1791, nan, nan
10, 0.2448, nan, nan
11, 0.1767, nan, nan
12, 0.2509, nan, nan
13, 0.2835, nan, nan
14, 0.2681, nan, nan
15, 0.2632, nan, nan
16, 0.2881, nan, nan
17, 0.3160, nan, nan
18, 0.2843, nan, nan
19, 0.1695, nan, nan
20, 0.3092, nan, nan
21, 0.2770, nan, nan
22, 0.2988, nan, nan
23, 0.3374, nan, nan
24, 0.2513, nan, nan
25, 0.3504, nan, nan
26, 0.3267, nan, nan
27, 0.2849, nan, nan
28, 0.3264, nan, nan
29, 0.3241, nan, nan
30, 0.2804, nan, nan
31, 0.3268, nan, nan
32, 0.2953, nan, nan
33, 0.2911, nan, nan
34, 0.3061, nan, nan
35, 0.3703, nan, nan
36, 0.3487, nan, nan
37, 0.3655, nan, nan
38, 0.3902, nan, nan
39, 0.3087, nan, nan
40, 0.3635, nan, nan
41, 0.2973, nan, nan
42, 0.2918, nan, nan
43, 0.3888, nan, nan
44, 0.3092, nan, nan
45, 0.3649, nan, nan
46, 0.3400, nan, nan
47, 0.2986, nan, nan
48, 0.3752, nan, nan
49, 0.3766, nan, nan
50, 0.3814, nan, nan
51, 0.1969, 1.0000, 0.4286
52, 0.2443, 1.0000, 0.1429
53, 0.3521, 1.0000, 0.0000
54, 0.1779, 1.0000, 0.4286
55, 0.2858, 1.0000, 0.1429
56, 0.3367, 1.0000, 0.0000
57, 0.2224, 1.0000, 0.1429
