# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=300
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1000, nan, nan
4, 0.1000, nan, nan
5, 0.1356, nan, nan
6, 0.1586, nan, nan
7, 0.2193, nan, nan
8, 0.2227, nan, nan
9, 0.2437, nan, nan
10, 0.1979, nan, nan
11, 0.2334, nan, nan
12, 0.2964, nan, nan
13, 0.2515, nan, nan
14, 0.3015, nan, nan
15, 0.3303, nan, nan
16, 0.2868, nan, nan
17, 0.2007, nan, nan
18, 0.2089, nan, nan
19, 0.2703, nan, nan
20, 0.2533, nan, nan
21, 0.2128, nan, nan
22, 0.2960, nan, nan
23, 0.2936, nan, nan
24, 0.2720, nan, nan
25, 0.2326, nan, nan
26, 0.2295, nan, nan
27, 0.2996, nan, nan
28, 0.3589, nan, nan
29, 0.3097, nan, nan
30, 0.2626, nan, nan
31, 0.2422, nan, nan
32, 0.3087, nan, nan
33, 0.3483, nan, nan
34, 0.2876, nan, nan
35, 0.3264, nan, nan
36, 0.3521, nan, nan
37, 0.3985, nan, nan
38, 0.3173, nan, nan
39, 0.3819, nan, nan
40, 0.3519, nan, nan
41, 0.3082, nan, nan
42, 0.2832, nan, nan
43, 0.3749, nan, nan
44, 0.3592, nan, nan
45, 0.3294, nan, nan
46, 0.3182, nan, nan
47, 0.3524, nan, nan
48, 0.3931, nan, nan
49, 0.3492, nan, nan
50, 0.3542, nan, nan
51, 0.3012, 1.0000, 0.1429
52, 0.5319, 0.0000, 0.0000
53, 0.4513, 1.0000, 0.0000
54, 0.5806, 0.0000, 0.0000
55, 0.5945, 0.0000, 0.0000
56, 0.6157, 0.0000, 0.0000
57, 0.6172, 0.0000, 0.0000
58, 0.6263, 0.0000, 0.0000
59, 0.1000, 1.0000, 0.2857
60, 0.5742, 0.0000, 0.1429
61, 0.3768, 1.0000, 0.0000
62, 0.5741, 0.0000, 0.0000
63, 0.6114, 0.0000, 0.0000
64, 0.6327, 0.0000, 0.0000
65, 0.6352, 0.0000, 0.0000
66, 0.6336, 0.0000, 0.0000
67, 0.6445, 0.0000, 0.1429
68, 0.6538, 0.0000, 0.0000
69, 0.6560, 0.0000, 0.0000
70, 0.6583, 0.0000, 0.1429
71, 0.6668, 0.0000, 0.0000
72, 0.6653, 0.0000, 0.1429
73, 0.1000, 1.0000, 0.0000
74, 0.1000, 1.0000, 0.1429
75, 0.1000, 1.0000, 0.2857
76, 0.1000, 1.0000, 0.2857
77, 0.1523, 1.0000, 0.1429
78, 0.2432, 1.0000, 0.0000
79, 0.3686, 1.0000, 0.0000
80, 0.2864, 1.0000, 0.0000
