# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=300
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.0987, nan, nan
4, 0.1334, nan, nan
5, 0.1553, nan, nan
6, 0.2081, nan, nan
7, 0.1956, nan, nan
8, 0.2060, nan, nan
9, 0.2281, nan, nan
10, 0.2639, nan, nan
11, 0.3079, nan, nan
12, 0.2757, nan, nan
13, 0.3058, nan, nan
14, 0.1944, nan, nan
15, 0.3152, nan, nan
16, 0.3886, nan, nan
17, 0.3310, nan, nan
18, 0.2938, nan, nan
19, 0.3768, nan, nan
20, 0.4062, nan, nan
21, 0.3913, nan, nan
22, 0.3774, nan, nan
23, 0.3842, nan, nan
24, 0.3499, nan, nan
25, 0.3393, nan, nan
26, 0.4326, nan, nan
27, 0.3744, nan, nan
28, 0.3810, nan, nan
29, 0.3525, nan, nan
30, 0.4017, nan, nan
31, 0.4097, nan, nan
32, 0.3685, nan, nan
33, 0.3721, nan, nan
34, 0.4496, nan, nan
35, 0.3768, nan, nan
36, 0.3532, nan, nan
37, 0.3511, nan, nan
38, 0.4040, nan, nan
39, 0.3857, nan, nan
40, 0.3800, nan, nan
41, 0.4509, nan, nan
42, 0.4125, nan, nan
43, 0.4564, nan, nan
44, 0.3442, nan, nan
45, 0.3487, nan, nan
46, 0.3425, nan, nan
47, 0.4185, nan, nan
48, 0.4862, nan, nan
49, 0.4297, nan, nan
50, 0.4458, nan, nan
51, 0.2025, 1.0000, 0.5714
52, 0.4058, 1.0000, 0.0000
53, 0.4416, 1.0000, 0.0000
54, 0.5827, 0.0000, 0.0000
55, 0.5386, 1.0000, 0.0000
56, 0.4990, 1.0000, 0.0000
57, 0.2992, 1.0000, 0.2857
58, 0.5031, 1.0000, 0.0000
59, 0.4133, 1.0000, 0.1429
60, 0.3575, 1.0000, 0.1429
61, 0.4607, 1.0000, 0.0000
62, 0.4387, 1.0000, 0.0000
63, 0.3453, 1.0000, 0.2857
64, 0.4678, 1.0000, 0.0000
65, 0.3758, 1.0000, 0.1429
66, 0.1371, 1.0000, 0.5714
67, 0.4255, 1.0000, 0.0000
68, 0.2035, 1.0000, 0.4286
69, 0.5715, 0.0000, 0.0000
70, 0.5094, 1.0000, 0.1429
71, 0.4488, 1.0000, 0.1429
72, 0.5098, 1.0000, 0.0000
73, 0.5992, 0.0000, 0.0000
74, 0.5473, 1.0000, 0.0000
75, 0.3392, 1.0000, 0.2857
76, 0.4240, 1.0000, 0.0000
77, 0.4531, 1.0000, 0.0000
78, 0.2981, 1.0000, 0.2857
79, 0.6029, 0.0000, 0.0000
80, 0.5271, 1.0000, 0.0000
81, 0.2832, 1.0000, 0.2857
82, 0.4241, 1.0000, 0.1429
83, 0.4897, 1.0000, 0.0000
84, 0.4492, 1.0000, 0.1429
85, 0.6089, 0.0000, 0.0000
86, 0.5096, 1.0000, 0.0000
87, 0.4798, 1.0000, 0.0000
88, 0.1757, 1.0000, 0.4286
89, 0.3537, 1.0000, 0.1429
90, 0.3528, 1.0000, 0.2857
91, 0.4173, 1.0000, 0.1429
92, 0.3933, 1.0000, 0.2857
93, 0.5333, 0.6667, 0.0000
94, 0.3668, 1.0000, 0.2857
95, 0.5515, 0.3333, 0.0000
96, 0.4643, 1.0000, 0.1429
97, 0.2996, 1.0000, 0.2857
98, 0.2892, 1.0000, 0.2857
99, 0.2924, 1.0000, 0.2857
100, 0.3590, 1.0000, 0.2857
101, 0.3014, 1.0000, 0.2857
102, 0.5915, 0.0000, 0.1429
103, 0.4566, 1.0000, 0.1429
104, 0.3638, 1.0000, 0.2857
105, 0.6058, 0.0000, 0.0000
106, 0.3626, 1.0000, 0.1429
107, 0.1656, 1.0000, 0.5714
108, 0.3102, 1.0000, 0.2857
109, 0.3389, 1.0000, 0.2857
110, 0.2275, 1.0000, 0.4286
111, 0.2354, 1.0000, 0.2857
112, 0.2993, 1.0000, 0.2857
113, 0.5744, 0.0000, 0.1429
114, 0.5167, 1.0000, 0.1429
115, 0.4019, 1.0000, 0.2857
116, 0.6046, 0.0000, 0.1429
117, 0.4514, 1.0000, 0.2857
118, 0.5989, 0.0000, 0.2857
119, 0.6141, 0.0000, 0.2857
120, 0.4361, 1.0000, 0.2857
121, 0.2412, 1.0000, 0.2857
122, 0.2571, 1.0000, 0.2857
123, 0.3399, 1.0000, 0.2857
124, 0.3375, 1.0000, 0.2857
125, 0.2958, 1.0000, 0.2857
126, 0.3267, 1.0000, 0.2857
127, 0.5794, 0.0000, 0.0000
128, 0.4345, 1.0000, 0.2857
129, 0.2930, 1.0000, 0.2857
130, 0.5871, 0.0000, 0.1429
131, 0.4177, 1.0000, 0.2857
132, 0.5163, 0.3333, 0.2857
133, 0.6198, 0.0000, 0.1429
134, 0.4545, 1.0000, 0.2857
135, 0.2528, 1.0000, 0.4286
136, 0.2467, 1.0000, 0.2857
137, 0.2297, 1.0000, 0.2857
138, 0.3334, 1.0000, 0.2857
139, 0.4029, 0.6667, 0.1429
140, 0.3039, 1.0000, 0.2857
141, 0.6090, 0.0000, 0.0000
142, 0.4068, 1.0000, 0.2857
143, 0.1548, 1.0000, 0.5714
144, 0.2828, 1.0000, 0.2857
145, 0.2061, 1.0000, 0.2857
146, 0.3213, 1.0000, 0.1429
147, 0.4678, 0.6667, 0.2857
148, 0.6009, 0.0000, 0.0000
149, 0.4212, 1.0000, 0.2857
150, 0.1704, 1.0000, 0.5714
151, 0.5766, 0.0000, 0.1429
152, 0.4401, 1.0000, 0.2857
153, 0.2045, 1.0000, 0.4286
154, 0.3492, 1.0000, 0.2857
155, 0.1417, 1.0000, 0.5714
156, 0.2182, 1.0000, 0.2857
157, 0.3831, 1.0000, 0.1429
158, 0.4251, 0.6667, 0.2857
159, 0.3719, 0.6667, 0.1429
160, 0.3173, 1.0000, 0.2857
161, 0.5765, 0.0000, 0.1429
162, 0.4639, 1.0000, 0.2857
163, 0.1113, 1.0000, 0.7143
164, 0.5458, 0.0000, 0.0000
165, 0.3663, 1.0000, 0.2857
166, 0.6026, 0.0000, 0.1429
167, 0.6232, 0.0000, 0.1429
168, 0.4442, 1.0000, 0.2857
169, 0.5548, 0.3333, 0.1429
170, 0.6113, 0.0000, 0.0000
171, 0.6290, 0.0000, 0.1429
172, 0.4200, 1.0000, 0.2857
173, 0.0938, 1.0000, 0.7143
174, 0.2378, 1.0000, 0.2857
175, 0.3965, 1.0000, 0.1429
176, 0.3488, 1.0000, 0.2857
177, 0.3113, 1.0000, 0.2857
178, 0.3348, 1.0000, 0.2857
179, 0.2512, 1.0000, 0.2857
180, 0.5781, 0.0000, 0.0000
181, 0.4376, 1.0000, 0.2857
182, 0.1308, 1.0000, 0.5714
183, 0.5695, 0.0000, 0.1429
184, 0.4168, 1.0000, 0.2857
185, 0.3284, 1.0000, 0.2857
186, 0.6056, 0.0000, 0.0000
187, 0.4359, 1.0000, 0.2857
188, 0.4188, 1.0000, 0.2857
189, 0.2978, 1.0000, 0.2857
190, 0.3498, 1.0000, 0.2857
191, 0.3433, 1.0000, 0.2857
192, 0.3816, 1.0000, 0.2857
193, 0.3191, 1.0000, 0.2857
194, 0.3077, 1.0000, 0.2857
195, 0.5915, 0.0000, 0.0000
196, 0.4051, 1.0000, 0.2857
197, 0.2007, 1.0000, 0.5714
198, 0.5853, 0.0000, 0.0000
199, 0.4679, 1.0000, 0.2857
200, 0.2943, 1.0000, 0.2857
201, 0.5991, 0.0000, 0.0000
202, 0.4510, 1.0000, 0.2857
203, 0.6094, 0.0000, 0.0000
204, 0.6272, 0.0000, 0.0000
205, 0.4438, 1.0000, 0.2857
206, 0.4320, 1.0000, 0.1429
207, 0.2698, 1.0000, 0.2857
208, 0.3431, 1.0000, 0.2857
209, 0.3009, 1.0000, 0.2857
210, 0.2798, 1.0000, 0.1429
211, 0.3423, 1.0000, 0.2857
212, 0.3033, 1.0000, 0.2857
213, 0.2504, 1.0000, 0.2857
214, 0.3657, 1.0000, 0.2857
215, 0.5816, 0.0000, 0.1429
216, 0.4148, 1.0000, 0.2857
217, 0.3653, 1.0000, 0.2857
218, 0.6047, 0.0000, 0.0000
219, 0.4386, 1.0000, 0.2857
220, 0.3966, 1.0000, 0.2857
221, 0.6041, 0.0000, 0.1429
222, 0.4037, 1.0000, 0.2857
223, 0.6094, 0.0000, 0.2857
224, 0.6402, 0.0000, 0.0000
225, 0.3239, 1.0000, 0.2857
226, 0.3275, 1.0000, 0.2857
227, 0.3684, 1.0000, 0.2857
228, 0.3452, 1.0000, 0.2857
229, 0.2408, 1.0000, 0.2857
230, 0.3663, 1.0000, 0.2857
231, 0.3268, 1.0000, 0.2857
232, 0.2667, 1.0000, 0.2857
233, 0.4796, 1.0000, 0.1429
234, 0.3174, 1.0000, 0.4286
235, 0.3581, 1.0000, 0.2857
236, 0.3601, 1.0000, 0.2857
237, 0.5724, 0.0000, 0.0000
238, 0.5205, 1.0000, 0.1429
239, 0.3568, 1.0000, 0.2857
240, 0.6004, 0.0000, 0.1429
241, 0.3448, 1.0000, 0.2857
242, 0.1038, 1.0000, 0.5714
243, 0.6047, 0.0000, 0.0000
244, 0.4338, 1.0000, 0.2857
245, 0.3779, 1.0000, 0.2857
246, 0.3408, 1.0000, 0.2857
247, 0.3270, 1.0000, 0.2857
248, 0.3712, 1.0000, 0.2857
249, 0.3660, 1.0000, 0.2857
250, 0.3661, 1.0000, 0.2857
251, 0.2978, 1.0000, 0.4286
252, 0.3968, 1.0000, 0.2857
253, 0.4197, 1.0000, 0.2857
254, 0.1308, 1.0000, 0.7143
255, 0.2904, 1.0000, 0.2857
256, 0.5584, 0.0000, 0.2857
257, 0.3946, 1.0000, 0.2857
258, 0.3998, 1.0000, 0.2857
259, 0.3178, 1.0000, 0.2857
260, 0.5177, 0.3333, 0.2857
261, 0.4640, 1.0000, 0.2857
262, 0.4294, 1.0000, 0.2857
263, 0.5849, 0.0000, 0.1429
264, 0.4486, 1.0000, 0.2857
265, 0.6107, 0.0000, 0.1429
266, 0.1567, 1.0000, 0.7143
267, 0.2793, 1.0000, 0.2857
268, 0.3258, 1.0000, 0.2857
269, 0.3819, 1.0000, 0.2857
270, 0.3014, 1.0000, 0.2857
271, 0.1629, 1.0000, 0.5714
272, 0.3380, 1.0000, 0.2857
273, 0.4051, 1.0000, 0.2857
274, 0.1557, 1.0000, 0.5714
275, 0.5686, 0.0000, 0.0000
276, 0.3152, 1.0000, 0.2857
277, 0.3461, 1.0000, 0.2857
278, 0.3559, 1.0000, 0.2857
279, 0.2468, 1.0000, 0.4286
280, 0.5768, 0.0000, 0.1429
281, 0.5044, 1.0000, 0.2857
282, 0.4354, 1.0000, 0.2857
283, 0.3513, 0.6667, 0.2857
284, 0.3574, 1.0000, 0.2857
285, 0.2298, 1.0000, 0.4286
286, 0.3220, 1.0000, 0.2857
287, 0.3667, 1.0000, 0.2857
288, 0.1329, 1.0000, 0.7143
289, 0.3124, 1.0000, 0.2857
290, 0.3391, 1.0000, 0.2857
291, 0.4565, 0.6667, 0.2857
292, 0.4170, 1.0000, 0.2857
293, 0.2968, 1.0000, 0.4286
294, 0.5724, 0.0000, 0.0000
295, 0.4764, 1.0000, 0.2857
296, 0.4379, 1.0000, 0.2857
297, 0.3520, 1.0000, 0.2857
298, 0.2696, 1.0000, 0.2857
299, 0.1530, 1.0000, 0.4286
300, 0.3296, 1.0000, 0.2857
